id,name,summary,cultivation,toxicity
10,Aglaonema modestum,"Aglaonema modestum, called Chinese evergreen, green-for-ten-thousand-years, and lily of China, is a species of flowering plant in the genus Aglaonema, native to Bangladesh, Thailand, Laos, Vietnam, and southeast and south-central China. In these areas, it is found in tropical swamps and rainforests.","It has gained the Royal Horticultural Society's Award of Garden Merit.
A. modestum is typically 30–90 cm (1–3 ft) tall and 60–120 cm (2–4 ft) wide. It occasionally produces white spathe-and-spadix flowers that give way to oval-shaped, reddish fruits that are 25–75 mm (1–3 in) long. Its lance-shaped leaves measure 200 mm × 100 mm (8 in × 4 in), and are borne on 300 mm (12 in) stalks that arise from a central growing point.
A. modestum requires a shaded location, and should not be exposed to temperatures below 7 °C (45 °F), which can damage the foliage. It cannot endure direct sunlight and is a good choice for dimly lit rooms. It requires ample moisture except for a very short winter rest period, in which watering can be somewhat reduced. Young plants should be repotted every spring, while mature specimens need be repotted only every two to three years.","This plant contains calcium oxalate crystals which are poisonous to humans, dogs, cats, and horses. If ingested, it may cause severe burning and swelling in the mouth and tongue. Contact with the sap may also cause skin irritation."
11,Aichryson × aizoides,"Aichryson is a genus of 16 species of succulent, subtropical plants, native to the Canary Islands, Azores, and Madeira.
The species of Aichryson are not frost-resistant. They are related to Sempervivum, Jovibarba, Greenovia, Aeonium and Monanthes, readily seen in their similar flowers.
The genus name comes from a contraction of the Greek ""aei"" (always) and ""chrysos"" (gold).
Several species are cultivated as ornamental plants. The hybrid cultivar Aichryson × aizoides var. domesticum 'Variegatum' is a recipient of the Royal Horticultural Society's Award of Garden Merit. 

",No data available,No data available
12,Alocasia × mortfontanensis,"Alocasia × mortfontanensis (syn. Alocasia × amazonica), the African mask plant or Amazonian elephant ear, is an artificial hybrid species of flowering plant in the family Araceae. Its parents are Alocasia longiloba (from Southeast Asia) and Alocasia sanderiana, the kris plant (from the Philippines). A rhizomatous perennial reaching 1.5 m (5 ft), it has gained the Royal Horticultural Society's Award of Garden Merit as a house plant.",No data available,No data available
13,Alocasia azlanii,"Alocasia azlanii, the red mambo, is a species of flowering plant in the family Araceae, native to Brunei, and first described in 2016. With its red to purple patterning on and near its leaf veins, it is sometimes kept as a houseplant.",No data available,No data available
14,Alocasia baginda,"Alocasia baginda is a species of flowering plant in the family Araceae, native to Kalimantan, Indonesia. As a houseplant it is rare in commerce, with the unimproved species, and the cultivars 'Dragonscale', 'Green Dragon' and 'Silver Dragon'.",No data available,No data available
15,Alocasia brancifolia,"Alocasia is a genus of rhizomatous or tuberous, broad-leaved, perennial, flowering plants from the family Araceae. There are about 90 accepted species native to tropical and subtropical Asia and eastern Australia. Around the world, many growers widely cultivate a range of hybrids and cultivars as ornamentals.","Alocasia are tropical plants that are increasingly becoming popular as houseplants. The hybrid A. × amazonica has gained the Royal Horticultural Society's Award of Garden Merit. They are typically grown as pot plants, but a better way is to grow the plants permanently in the controlled conditions of a greenhouse. They can tolerate dim light and cannot withstand direct sunlight. They should be cared for as any other tropical plant with weekly cleaning of the leaves, frequent fertilization and medium to high humidity.
They rarely survive cold winters or the dryness of artificial heating, but an attempt to slowly acclimatize plants from the summer garden to the house can help. Once inside, the watering period must be reduced and the plants should be protected from spider mites or red spider attack.",No data available
16,Alocasia heterophylla,"Alocasia heterophylla is a plant in the family Araceae. It is endemic to the islands of Luzon, Mindanao, and Polillo in the Philippines.

",No data available,No data available
17,Alocasia infernalis,"Alocasia infernalis is a species of flowering plant in the family Araceae, native to Kalimantan, Indonesia and Sarawak state, Malaysia. It gets its specific epithet from its dark leaves—nearly black with purple veins—that exhibit a baleful red iridescence depending on the angle of the light and the position of the viewer. Occasionally kept as a houseplant, it has been nicknamed ""Black Magic"". Other names associated with Alocasia infernalis, which may represent incipient common names, or cultivars, include ""Black Panther"", 'Kapit', and 'Viery'.",No data available,No data available
18,Alocasia lauterbachiana,"Alocasia is a genus of rhizomatous or tuberous, broad-leaved, perennial, flowering plants from the family Araceae. There are about 90 accepted species native to tropical and subtropical Asia and eastern Australia. Around the world, many growers widely cultivate a range of hybrids and cultivars as ornamentals.","Alocasia are tropical plants that are increasingly becoming popular as houseplants. The hybrid A. × amazonica has gained the Royal Horticultural Society's Award of Garden Merit. They are typically grown as pot plants, but a better way is to grow the plants permanently in the controlled conditions of a greenhouse. They can tolerate dim light and cannot withstand direct sunlight. They should be cared for as any other tropical plant with weekly cleaning of the leaves, frequent fertilization and medium to high humidity.
They rarely survive cold winters or the dryness of artificial heating, but an attempt to slowly acclimatize plants from the summer garden to the house can help. Once inside, the watering period must be reduced and the plants should be protected from spider mites or red spider attack.",No data available
19,Alocasia longiloba,"Alocasia longiloba is a species of flowering plant in the family Araceae. It is the namesake of a species complex. The complex has a widespread distribution; Guangdong, Hainan, and southern Yunnan in China, mainland Southeast Asia, and western and central Malesia. 
In the houseplant trade, many of the former species that were subsumed into Alocasia longiloba are now considered types or varieties, these include 'argyrea', 'korthalsii', 'lowii', and 'watsoniana'. The placement and validity of such varieties, and of any potential hybrids and cultivars within the complex is unclear, including 'Jackrabbit' and 'Thibautians'. Similarly, a cross of Alocasia lowii with the kris plant Alocasia sanderiana produced Alocasia × mortfontanensis, which may or may not be the same as the well-known hybrid Alocasia × amazonica, the African mask, formed by crossing A. sanderiana and Alocasia watsoniana, with the only certain parent in either cross being A. sanderiana.",No data available,No data available
20,Alocasia melo,"Alocasia melo is a species of flowering plant in the family Araceae, native to Sabah state in Malaysia. It grows on ultramafic soils. In the houseplant trade it is often sold as ""Alocasia rugosa"" due to its highly rugose leaves.",No data available,No data available
21,Alocasia micholitziana,"Alocasia micholitziana, commonly known as the green velvet taro or green velvet alocasia, is a plant in the family Araceae. It is endemic to the island of Luzon in the Philippines. It is commonly grown as an ornamental plant worldwide.

",No data available,No data available
22,Alocasia nebula,"Alocasia nebula is a species of flowering plant in the family Araceae, native to Sarawak state, Malaysia. As a houseplant it is said to be the most difficult Alocasia to grow.",No data available,No data available
23,Alocasia nycteris,"Alocasia nycteris, commonly known as the bat alocasia or the batwing alocasia, is a plant in the family Araceae. It is endemic to island of Panay in the Philippines. It is cultivated as an ornamental plant.",No data available,No data available
24,Alocasia portei,"Alocasia is a genus of rhizomatous or tuberous, broad-leaved, perennial, flowering plants from the family Araceae. There are about 90 accepted species native to tropical and subtropical Asia and eastern Australia. Around the world, many growers widely cultivate a range of hybrids and cultivars as ornamentals.","Alocasia are tropical plants that are increasingly becoming popular as houseplants. The hybrid A. × amazonica has gained the Royal Horticultural Society's Award of Garden Merit. They are typically grown as pot plants, but a better way is to grow the plants permanently in the controlled conditions of a greenhouse. They can tolerate dim light and cannot withstand direct sunlight. They should be cared for as any other tropical plant with weekly cleaning of the leaves, frequent fertilization and medium to high humidity.
They rarely survive cold winters or the dryness of artificial heating, but an attempt to slowly acclimatize plants from the summer garden to the house can help. Once inside, the watering period must be reduced and the plants should be protected from spider mites or red spider attack.",No data available
25,Alocasia princeps,"Alocasia princeps is a species of flowering plant in the family Araceae, native to Borneo. With its V-shaped leaves it is sometimes kept as a houseplant. There are two cultivars, 'Purple Cloak' and 'Candy Sticks'.",No data available,No data available
26,Alocasia reginae,"Alocasia reginae is a species of flowering plant in the family Araceae, native to Borneo. Occasionally kept as a houseplant, there are cultivars available, including 'Miri' and 'Elaine'.

",No data available,No data available
27,Alocasia reginula,"Alocasia reginula, black velvet, is a species of flowering cormous aroid (family Araceae), native to Sabah state in Malaysia. This plant, often referred to as one of the ""jewel"" Alocasias (along with several other diminutive Alocasia types), became increasingly popular among plant hobbyists between the years 2018 to 2020. Until as recently as 2021 though, not much was known about the plant or its origins. Originally described from cultivation, and often sold as “Alocasia 'Black Velvet'”, it is not a modern cultivar or hybrid; A. reginula is its own natural species. It is only known from dry, deeply shaded limestone cliffs in Tabin Wildlife Reserve. As a houseplant it needs sharp drainage or it will very likely rot. 
Many plant vendors and stores sell houseplants in far too thick and dense of potting media. A beneficial practice is to simply remove the plant, briefly, to amend the substrate and add more porosity and drainage. Some examples of acceptable substrate amendments for  Alocasia  (of all types) include perlite, pumice, small to medium orchid bark, coconut coir, coconut chips, sphagnum moss, LECA, or a combination of some or all. Alternatively, many growers report successful, thriving growth when the corms are planted in pure sphagnum moss.",No data available,No data available
28,Alocasia reversa,"Alocasia reversa is a species of flowering plant in the family Araceae, native to Borneo. In its native habitat it is found on limestone outcrops, so as a houseplant it does not need heavy watering. It gets its specific epithet from the fact that its color pattern is reversed from the typical Alocasia, that is, its coloration is darker on and near the veins.",No data available,No data available
29,Alocasia sanderiana,"Alocasia sanderiana, commonly known as the kris plant or Sander's alocasia, is a plant in the family Araceae. It is endemic to Northern Mindanao in the Philippines, but is commonly grown as an ornamental plant worldwide. It is classified as critically endangered in the wild by the International Union for Conservation of Nature.

","Alocasia plants are cultivated in pots as indoor plants in a substrate of sod, peat, humus and sand (2:2:3:2) with moss or pieces of charcoal added. In spring and summer give a liquid compound fertiliser 2 times a month. Alocasia needs extra light in winter; it grows better with high air humidity. Ambient air humidity is maintained at 80-85%. In spring and summer, the Alocasia needs regular watering and frequent spraying. Multiply by grafting, dividing rhizomes or sowing seeds in spring in a warm place. In winter the temperature needs to be relatively high - not lower than 17 °C for all the species described, in summer the optimum temperature is 21 °C. In domestic conditions, water abundantly during the growing season as soon as the soil surface in the pot dries out, from autumn watering is reduced, and in winter moisten the soil only after a day or two after the top layer of substrate dries out. The soil should not be allowed to dry out, but excessive moisture is also extremely harmful. Any water that has leaked into the tray should be poured out a quarter of an hour after watering.",No data available
30,Alocasia sarawakensis,"Alocasia sarawakensis is a species of flowering plant in the elephant ear genus Alocasia (family Araceae), native to Borneo. Unusually for an aroid, it is a freshwater swamp forest obligate, preferring well-lit situations. A large species, it can reach 8 ft (2.4 m). A cultivar, 'Yucatan Princess', is commercially available.
Alocasia sarawakensis can be difficult for home gardeners in Europe or North America to grow; it will not tolerate extended periods of temperatures below 50°F. During its growing season, moderate watering paired with weekly feeding are required for Alocasia sarawakensis to thrive. 

",No data available,No data available
31,Alocasia scalprum,"Alocasia scalprum, the Samar lance, is a species of flowering plant in the family Araceae, native to Samar island, the Philippines. Well known from cultivation as a houseplant in the Philippines, and introduced to aroid enthusiasts as Alocasia cv. Samar Lance in 1984, it was not formally described as a species until 1999. Its glossy, lance-shaped leaves with embossed veins take on a blue sheen when mature. It is similar in appearance to Alocasia heterophylla.

",No data available,No data available
32,Alocasia sinuata,"Alocasia sinuata, commonly known as Alocasia quilted dreams or Alocasia 'Bullata', is a flowering plant in the family Araceae. It is endemic to the limestone forests of Samar, Leyte, and parts of Mindanao in the Philippines. It is classified as critically endangered by the International Union for Conservation of Nature.
Despite its critically endangered status, it is grown commonly as a houseplant.

",No data available,No data available
33,Alocasia wentii,"Alocasia wentii is a species of flowering plant in the family Araceae, native to the highlands of New Guinea.","Plants sold in the ornamental trade as Alocasia wentii, commonly known as hardy elephant's ear, appear to be hybrids of other Alocasia species rather than the true species from New Guinea. The true Alocasia wentii is a diminute species with dark green, sagittate leaves, while cultivated plants have large peltate purple leaves. 
The purple-leaved plants appear to be hybrids of Alocasia cuprea and possibly Alocasia odora, are polyploid and seemingly sterile. They may be the same as Alocasia 'Uhinki', an artificial hybrid between these species created pre-1897 in the nursery of the Chantrier brothers in Mortefontaine, France. Alocasia 'Uhinki' was subsequently misspelled ""Alocasia whinkii"" in nursery catalogues, possibly resulting in its confusion with the similar-sounding Alocasia wentii.
Variegated cultivars of this hybrid are also commercially available.",No data available
34,Alocasia zebrina,"Alocasia zebrina, commonly known as the zebra plant or zebrina alocasia, is a plant in the family Araceae. It is endemic to the islands of Luzon, Mindanao, Leyte, Samar, Biliran, and Alabat in the Philippines. It is commonly grown as an ornamental plant worldwide. It is also locally known as gabing tigre (""tiger taro"") in Tagalog. It is nationally listed as a threatened species and collection of A. zebrina from the wild is illegal in the Philippines.

",No data available,No data available
35,Angraecum sesquipedale,"Angraecum sesquipedale (), also known as Darwin's orchid, Christmas orchid, Star of Bethlehem orchid, and king of the angraecums, is an epiphytic orchid in the genus Angraecum endemic to Madagascar. The orchid was first discovered by the French botanist Louis-Marie Aubert du Petit-Thouars in 1798, but was not described until 1822. It is noteworthy for its long spur and its association with the naturalist Charles Darwin, who surmised that the flower was pollinated by a then undiscovered moth with a proboscis whose length was unprecedented at the time. Darwin's prediction went unverified for 21 years after his death, until just such a moth was discovered and his conjecture vindicated. The story of its postulated pollinator has come to be seen as one of the celebrated predictions of the theory of evolution.","Angraecum sesquipedale was first brought to the United Kingdom in 1855 to be grown outside of its natural environment by William Ellis. Subsequently, Ellis achieved the first flowering of the plant in cultivation in 1857. Angraecum sesquipedale has been attributed as having a nicer appearance when grown in cultivation than when found in the wild, since wild specimens appear as a long stem surrounded by a few struggling leaves. Additionally, A. sesquipedale is seldom grown in private collections, despite its enormous importance to Darwin's concept of coevolution and subsequently the fields of botany and evolutionary biology.

It is often recommended that A. sesquipedale be grown under warm to intermediate conditions and given as much light as possible without burning the leaves. The choice of growing the plant in intermediate or warm housing conditions can affect the timing of the flowering. In order to stimulate heavy flower production it is important that the light intensity be greatest between September and November. The number of flower spikes present during flowering is dependent on the number of new leaf-pairs formed during the preceding spring and summer, since each newly formed leaf-pair produce one spike and rarely two. Angraecum sesquipedale is commonly found to have a slow growth habit, but the orchid can be expected to produce flowers even before it has reached an adult size. Angraecum sesquipedale is notorious for having sensitive roots. The roots of mature plants are best left undisturbed as much as possible and as a result it is prudent to be especially careful during repotting. Young plants however are less susceptible to such root problems. Disturbing the roots can cause the plant to sulk for two to four years or even to cause it to die. When a mature plant is disturbed it frequently loses many of its lower leaves and reverts to only producing one or two flowers at a time. To avoid these problems it is commonly advised that the orchid be planted in a coarse medium such as fir bark, crock, or charcoal to minimize disturbances to the roots. Also planting it in a basket or large pot is best since this allows the orchid to grow for many years before having to have its roots disturbed.",No data available
36,Anthurium amnicola,"Anthurium amnicola (syn. Anthurium lilacinum), the tulip anthurium, tulip tailflower, or Hawaiian tulip, is a species of flowering plant in the family Araceae, native to Panama. With its tulip‑like flowers it was grown in Hawaii for the cut flower industry, and is occasionally sold today as a houseplant.",No data available,No data available
37,Anthurium bakeri,"Anthurium bakeri is a species of flowering plant in the family Araceae, found from Chiapas in Mexico through Central America and on to northwestern South America. A semi‑epiphyte with strappy leaves and bright red flowers, it is occasionally sold as a houseplant.",No data available,No data available
38,Anthurium clarinervium,"Anthurium (; Schott, 1829) is a genus of about 1,000 species of flowering plants, the largest genus of the arum family, Araceae. General common names include anthurium, tailflower, flamingo flower, pigtail plant, and laceleaf.
The genus is native to the Americas, where it is distributed from northern Mexico to northern Argentina and parts of the Caribbean.

","Like other aroids, many species of Anthurium plant can be grown as houseplants, or outdoors in mild climates in shady spots, including Anthurium crystallinum and Anthurium clarinervium with its large, velvety, dark green leaves and silvery white venation. Many hybrids are derived from Anthurium andraeanum or Anthurium scherzerianum because of their colorful spathes. They thrive in moist soils with high organic matter. In milder climates the plants can be grown in pots of soil. Indoors plants thrive at temperatures of 16–22 °C (61–72 °F) and at lower light than other house plants. Wiping the leaves off with water will remove any dust and insects. Plants in pots with good root systems will benefit from a weak fertilizer solution every other week.  In the case of vining or climbing Anthuriums, the plants benefit from being provided with a totem to climb.","All plants within the Anthurium genus are toxic to cats, dogs, and even horses. Each part of the plant, including the root, stems, leaves, flowers, and seeds, poses a risk of toxicity. The plant contains insoluble calcium oxalate crystals, which can cause oral irritation, pain, swelling, excessive drooling, vomiting, and difficulty swallowing. Keeping these plants away from your pets (and equines) is the best way to prevent a medical emergency."
39,Anthurium crenatum,"Anthurium crenatum, the scalloped laceleaf, is a species of flowering plant in the family Araceae, native to the Dominican Republic, Puerto Rico, and the U.S. Virgin Islands, and introduced to the Venezuelan Antilles. With its large, textured leaves it is suitable for containers.",No data available,No data available
40,Anthurium gracile,"Anthurium gracile, the red pearls anthurium, is a species of flowering plant in the family Araceae, native to the American tropics. An epiphyte, when kept as a houseplant it needs excellent drainage.",No data available,No data available
41,Anthurium radicans,"Anthurium radicans, the trailing anthurium, is a species of flowering plant in the family Araceae. A climber, it is native to wetter areas of eastern Brazil. Its unusual flower morphology led to it being placed in its own section,  Chamaerepium, but this has been refuted by molecular analysis. Available from specialist nurseries, it is valued as an indoor ornamental for its trailing habit and attractive foliage.",No data available,No data available
42,Anthurium scherzerianum,"Anthurium scherzerianum, the flamingo flower or pigtail plant, is a species of Anthurium (family Araceae) native to Costa Rica. It has gained the Royal Horticultural Society's Award of Garden Merit as an ornamental houseplant, kept at 15 °C (60 °F) or higher. It is naturally an epiphyte, growing on trees in the rainforest.
Anthurium scherzerianum typically reaches 30–45 cm (12–18 in) tall. Its most striking feature is its orange-red curly spadix. It produces shiny, lance-shaped leaves about 20 cm (8 in) long. Common pests include mealybugs, aphids, and soft scale. When growing indoors, it needs bright indirect sunlight for 10 to 12 hours a day depending on the season. If the light is not bright enough, the number of flowers (flower density) will be diminished greatly. While often grown as a houseplant, it may be grown outdoors in the US in USDA hardiness zones 11 and 12.",No data available,No data available
43,Anthurium vittariifolium,"Anthurium vittariifolium is a species of flowering plant in the genus Anthurium (family Araceae) native to the Amazon basin; southeast Colombia, Ecuador, Peru, and northern Brazil. With its long, pendulous leaves that can reach 2.4 m (8 ft), it is among those commonly known as ""strap-leaved"" anthuriums. It grows as an epiphyte at lower elevations of moist tropical forests, and is a member of the section Leptanthurium along with Anthurium gracile.",No data available,No data available
44,Anthurium warocqueanum,"Anthurium warocqueanum, commonly known as the Queen Anthurium, is a species of plant in the genus Anthurium. Native to Colombia, it is grown in more temperate climates as a greenhouse specimen or houseplant for its ornamental foliage.

",No data available,No data available
45,Anthurium watermaliense,"Anthurium watermaliense, the black anthurium or black prince, is a species of flowering plant in the family Araceae, native to Costa Rica, Panama, and Colombia. Its dark purple spathes make it popular as a houseplant.",No data available,No data available
46,Aphelandra squarrosa,"Aphelandra squarrosa (commonly but ambiguously called ""zebra plant"") is a plant species in the family Acanthaceae, which is native to Atlantic Forest vegetation of Brazil. This plant is often used as a house plant. This plant is cited in Flora Brasiliensis by Carl Friedrich Philipp von Martius.

",No data available,No data available
47,Apocissus antarctica,"Apocissus is a genus of flowering plants in the family Vitaceae. It includes seven species of climbing or scrambling vines, with six species native to New Guinea and Australia, and one species native to Central and South America.
The species in Apocissus were formerly placed in Cissus, a large genus with a wide distribution in the tropics and subtropics. They are distinguished from Cissus by the presence of domatia and/or ‘pouch-like' stipules. Jackes and Trias-Blasi (2023) concluded that Apocissus diverged from the core Cissus clade in the early Eocene, when South America and Australia were still connected via Antarctica.",No data available,No data available
48,Areca catechu,"Areca catechu is a species of palm native to the Philippines cultivated for areca nuts. It was carried widely through the tropics by the Austronesian migrations and trade since at least 1500 BCE due to its use in betel nut chewing. It is widespread in cultivation and is considered naturalized in much of tropical Asia and in Taiwan, southern China (Guangxi, Hainan, Yunnan), Madagascar, parts of the Pacific Islands, and also in the West Indies.
Its fruits (called areca nuts or betel nuts) are chewed together with slaked lime and betel leaves for their stimulant and narcotic effects.

",No data available,No data available
